teacherid,year,mathscore,numaides,treatment,schoolid,grade,yr1_treatment
30001,2001,1057,2,1,1,3,2008
30002,2001,1230.593,2,1,2,3,2004
30003,2001,1062.552,2,0,3,3,0
30004,2001,1090.958,2,0,4,3,0
30005,2001,1202.926,2,0,5,3,0
30006,2001,1099.034,2,0,6,3,0
30007,2001,1172.367,2,1,7,3,2012
30008,2001,1311,2,1,8,3,2010
30009,2001,1015.909,2,1,9,3,2010
30010,2001,949.1539,2,0,10,3,0
30011,2001,1144.2,2,1,11,3,2005
30012,2001,1148.75,2,0,12,3,0
30013,2001,1161.348,2,1,13,3,2005
30014,2001,1043.905,2,1,14,3,2007
30015,2001,1224.696,2,1,15,3,2011
30016,2001,1073.56,2,1,16,3,2011
30017,2001,998.7727,2,0,17,3,0
30018,2001,1118.839,2,1,18,3,2012
30019,2001,1200.542,2,0,19,3,0
30020,2001,1118.407,2,1,20,3,2006
30021,2001,1069.033,2,0,21,3,0
30022,2001,1203.258,2,1,22,3,2007
30023,2001,1086.542,2,1,23,3,2004
30024,2001,1141.63,2,1,24,3,2008
30025,2001,1106.625,2,0,25,3,0
30026,2001,1168.037,2,1,26,3,2004
30027,2001,1103.769,2,1,27,3,2012
30028,2001,1037.583,2,0,28,3,0
30029,2001,1090,2,1,29,3,2009
30030,2001,1179.654,2,1,30,3,2006
30031,2001,1110.613,2,0,31,3,0
30032,2001,1182.909,2,1,32,3,2007
30033,2001,1169.5,2,1,33,3,2006
30034,2001,1136.931,2,0,34,3,0
30035,2001,1199,2,1,35,3,2005
30036,2001,1171.7,2,1,36,3,2008
30037,2001,1146.531,2,0,37,3,0
30038,2001,1147.207,2,1,38,3,2007
30039,2001,1041.091,2,0,39,3,0
30040,2001,1202.964,2,1,40,3,2008
30041,2001,1129.742,2,1,41,3,2008
30042,2001,1078.467,2,1,42,3,2010
30043,2001,1059.591,2,1,43,3,2007
30044,2001,949.2759,2,1,44,3,2008
30045,2001,1090.296,2,1,1,3,2007
30046,2001,1045.731,2,0,1,3,0
30047,2001,1038.138,2,0,1,3,0
30048,2001,1096.273,2,1,1,3,2005
30049,2001,1044.318,2,1,1,3,2004
30050,2001,1148.136,2,1,1,3,2007
30051,2001,1188.259,2,1,1,3,2006
30052,2001,1142.095,2,1,2,3,2012
30053,2001,1239.5,2,1,2,3,2010
30054,2001,1094.148,2,0,2,3,0
30055,2001,1082.667,2,0,2,3,0
30056,2001,1130.696,2,0,2,3,0
30057,2001,1214.621,2,0,3,3,0
30058,2001,1132.536,2,0,3,3,0
30059,2001,1153.967,2,0,3,3,0
30060,2001,1174.75,2,0,3,3,0
30061,2001,1162.138,2,1,3,3,2005
30062,2001,998.4333,2,1,4,3,2007
30063,2001,1054.323,2,1,4,3,2004
30064,2001,1168.387,2,1,4,3,2005
30065,2001,1164.72,2,0,4,3,0
30066,2001,1029.476,2,0,4,3,0
30067,2001,1022.625,2,0,4,3,0
30068,2001,1151.095,2,1,4,3,2006
30069,2001,1117.2,2,1,5,3,2010
30070,2001,971.9063,2,0,5,3,0
30071,2001,1042.5,2,1,5,3,2007
30072,2001,1190.563,2,0,5,3,0
30073,2001,1087.5,2,1,5,3,2005
30074,2001,1048.8,2,0,5,3,0
30075,2001,1245.966,2,1,6,3,2008
30076,2001,1250.615,2,1,6,3,2006
30077,2001,1044.533,2,0,6,3,0
30078,2001,1120.897,2,1,6,3,2005
30079,2001,1044.069,2,0,6,3,0
30080,2001,1156.375,2,1,7,3,2007
30081,2001,1241.323,2,1,7,3,2004
30082,2001,1270.238,2,1,7,3,2011
30083,2001,1104.08,2,1,7,3,2010
30084,2001,1042.586,2,0,8,3,0
30085,2001,1142.042,2,0,8,3,0
30086,2001,1129.667,2,1,8,3,2009
30087,2001,1026.407,2,0,8,3,0
30088,2001,1077.696,2,0,8,3,0
30089,2001,1122.32,2,1,8,3,2006
30090,2001,1164.091,2,1,9,3,2010
30091,2001,977.2333,2,1,9,3,2012
30092,2001,1138.905,2,1,9,3,2012
30093,2001,1182.538,2,1,9,3,2011
30094,2001,1075.846,2,0,9,3,0
30095,2001,1118.773,2,1,9,3,2011
30096,2001,1180.484,2,0,10,3,0
30097,2001,1043.968,2,0,10,3,0
30098,2001,1095.864,2,0,10,3,0
30099,2001,1145.767,2,0,10,3,0
30100,2001,1125.258,2,0,10,3,0
30101,2001,1052.885,2,0,10,3,0
30102,2001,1073.379,2,0,11,3,0
30103,2001,1204.192,2,1,11,3,2009
30104,2001,1149.241,2,1,11,3,2007
30105,2001,898.3182,2,0,11,3,0
30106,2001,1114.188,2,1,11,3,2009
30107,2001,1075.143,2,0,12,3,0
30108,2001,1120.219,2,0,12,3,0
30109,2001,984.84,2,1,12,3,2007
30110,2001,1060.571,2,1,12,3,2005
30111,2001,1119.727,2,0,12,3,0
30112,2001,1009.435,2,0,12,3,0
30113,2001,1052.344,2,1,12,3,2009
30114,2001,1095.233,2,0,13,3,0
30115,2001,1288.591,2,0,13,3,0
30116,2001,1057.68,2,0,13,3,0
30117,2001,1097.032,2,0,13,3,0
30118,2001,1024.1,2,0,13,3,0
30119,2001,1170.969,2,1,14,3,2011
30120,2001,974.8666,2,0,14,3,0
30121,2001,1118.52,2,0,14,3,0
30122,2001,985.069,2,1,14,3,2009
30123,2001,1107.75,2,0,14,3,0
30124,2001,1190.095,2,0,15,3,0
30125,2001,1073.889,2,0,15,3,0
30126,2001,1159.536,2,0,15,3,0
30127,2001,1171.045,2,0,15,3,0
30128,2001,1054.037,2,1,15,3,2008
30129,2001,1123.296,2,1,16,3,2009
30130,2001,1180.182,2,0,16,3,0
30131,2001,1073.52,2,0,16,3,0
30132,2001,1176.615,2,0,16,3,0
30133,2001,1097.759,2,1,16,3,2006
30134,2001,1123.774,2,0,16,3,0
30135,2001,1047.905,2,1,17,3,2011
30136,2001,1195.407,2,0,17,3,0
30137,2001,1262.708,2,1,17,3,2005
30138,2001,1177,2,1,17,3,2005
30139,2001,983.875,2,1,17,3,2007
30140,2001,979.7667,2,1,17,3,2009
30141,2001,1059,2,0,17,3,0
30142,2001,1053.909,2,0,18,3,0
30143,2001,1176.409,2,1,18,3,2011
30144,2001,1041.696,2,0,18,3,0
30145,2001,1145.038,2,1,18,3,2011
30146,2001,1108.034,2,0,18,3,0
30147,2001,1194.25,2,1,19,3,2012
30148,2001,1067.71,2,0,19,3,0
30149,2001,1250.429,2,0,19,3,0
30150,2001,974.8077,2,0,19,3,0
30151,2001,1150.258,2,1,19,3,2006
30152,2001,1108.931,2,1,19,3,2007
30153,2001,1168.567,2,0,20,3,0
30154,2001,1116.905,2,1,20,3,2004
30155,2001,1084.37,2,1,20,3,2008
30156,2001,1041.111,2,1,20,3,2011
30157,2001,1072.704,2,1,21,3,2012
30158,2001,1155.567,2,1,21,3,2010
30159,2001,1130.677,2,1,21,3,2005
30160,2001,1119.654,2,1,21,3,2010
30161,2001,1043,2,0,22,3,0
30162,2001,1111.036,2,1,22,3,2012
30163,2001,1033.095,2,0,22,3,0
30164,2001,1138.381,2,0,22,3,0
30165,2001,1176.48,2,1,23,3,2005
30166,2001,1139.871,2,0,23,3,0
30167,2001,1050.75,2,1,23,3,2012
30168,2001,1295.76,2,0,23,3,0
30169,2001,1076.217,2,0,23,3,0
30170,2001,1068.739,2,1,24,3,2006
30171,2001,1135.593,2,0,24,3,0
30172,2001,992.5,2,0,24,3,0
30173,2001,1087.692,2,1,24,3,2006
30174,2001,1099.76,2,1,25,3,2007
30175,2001,1003.414,2,0,25,3,0
30176,2001,1045.214,2,1,25,3,2004
30177,2001,1202.19,2,0,25,3,0
30178,2001,1089.345,2,0,25,3,0
30179,2001,991.7391,2,0,25,3,0
30180,2001,1165.821,2,1,25,3,2005
30181,2001,1119.31,2,0,26,3,0
30182,2001,1047.464,2,0,26,3,0
30183,2001,1144.857,2,1,26,3,2007
30184,2001,1258.636,2,0,26,3,0
30185,2001,1130.5,2,1,26,3,2004
30186,2001,1126.429,2,1,26,3,2006
30187,2001,986.8461,2,0,26,3,0
30188,2001,1258.536,2,1,27,3,2012
30189,2001,1098.125,2,0,27,3,0
30190,2001,1077.136,2,0,27,3,0
30191,2001,1100.968,2,1,27,3,2010
30192,2001,1121.452,2,1,27,3,2010
30193,2001,1137.407,2,1,28,3,2012
30194,2001,1215.444,2,0,28,3,0
30195,2001,1039.345,2,0,28,3,0
30196,2001,1165.034,2,1,28,3,2004
30197,2001,1211.783,2,0,28,3,0
30198,2001,980.3333,2,0,29,3,0
30199,2001,1102.967,2,1,29,3,2008
30200,2001,1082.125,2,0,29,3,0
30201,2001,1231.88,2,0,29,3,0
30202,2001,1108.92,2,0,29,3,0
30203,2001,1081.156,2,1,30,3,2004
30204,2001,1108.286,2,1,30,3,2004
30205,2001,1217.345,2,1,30,3,2008
30206,2001,1188.741,2,1,30,3,2009
30207,2001,1006.478,2,0,30,3,0
30208,2001,1188.96,2,1,30,3,2006
30209,2001,1192.154,2,1,31,3,2009
30210,2001,893.1429,2,0,31,3,0
30211,2001,1054.667,2,0,31,3,0
30212,2001,1176.29,2,0,31,3,0
30213,2001,1181.24,2,0,31,3,0
30214,2001,1104.32,2,0,31,3,0
30215,2001,1158.385,2,0,32,3,0
30216,2001,1174.273,2,0,32,3,0
30217,2001,1054.097,2,1,32,3,2006
30218,2001,1034.727,2,0,32,3,0
30219,2001,1091.091,2,1,32,3,2007
30220,2001,977.4091,2,1,32,3,2004
30221,2001,1111.593,2,0,33,3,0
30222,2001,1214.16,2,1,33,3,2011
30223,2001,991.4762,2,0,33,3,0
30224,2001,1085.857,2,0,33,3,0
30225,2001,1135.565,2,1,34,3,2004
30226,2001,1128.103,2,0,34,3,0
30227,2001,1108.692,2,1,34,3,2005
30228,2001,1117.111,2,1,34,3,2011
30229,2001,1105.313,2,0,34,3,0
30230,2001,1082.846,2,1,34,3,2012
30231,2001,1184.172,2,0,35,3,0
30232,2001,1156,2,0,35,3,0
30233,2001,1142.542,2,0,35,3,0
30234,2001,1152.952,2,0,35,3,0
30235,2001,1203.192,2,0,35,3,0
30236,2001,1207.783,2,1,35,3,2009
30237,2001,1102.857,2,1,35,3,2007
30238,2001,1038.19,2,1,36,3,2008
30239,2001,1108.125,2,0,36,3,0
30240,2001,1077.44,2,0,36,3,0
30241,2001,1078.414,2,0,36,3,0
30242,2001,1270.909,2,1,36,3,2012
30243,2001,1205.88,2,0,37,3,0
30244,2001,1065.107,2,0,37,3,0
30245,2001,1104.87,2,1,37,3,2006
30246,2001,1123.483,2,0,37,3,0
30247,2001,1193.129,2,1,37,3,2012
30248,2001,1093.097,2,0,37,3,0
30249,2001,1155.6,2,1,37,3,2006
30250,2001,1170.419,2,1,38,3,2009
30251,2001,1134.727,2,1,38,3,2008
30252,2001,1000.138,2,0,38,3,0
