S,compulsoryS,female,xpr,xpr2,lnearn
15,10,0,19.02133,361.8111,9.220398
17,12,1,10.13772,102.7733,9.762558
13,10,0,19.96213,398.4866,8.191334
11,10,0,27.22002,740.9293,4.216195
18,9,1,5.17411,26.77142,10.67746
9,9,0,9.748647,95.03611,9.396896
13,11,0,14.83527,220.0853,7.893757
11,11,0,29.59282,875.735,5.071165
13,11,1,31.9318,1019.64,3.521409
15,11,1,13.15717,173.1111,10.65389
14,9,0,30.34694,920.937,2.052161
11,11,0,14.70541,216.249,8.471791
14,12,1,34.77866,1209.555,1.155541
13,11,0,7.997084,63.95335,9.487549
17,10,1,2.109443,4.449749,10.63168
14,11,1,7.25952,52.70063,12.1838
10,10,0,33.34023,1111.571,-1.165973
18,11,0,3.96548,15.72503,9.393814
15,12,0,6.13976,37.69665,9.177768
16,11,1,3.141743,9.87055,10.48427
18,11,0,5.706035,32.55884,9.480787
13,10,1,25.69524,660.2452,6.235045
16,10,1,2.690223,7.237299,11.53287
12,10,0,17.38051,302.0821,8.482285
11,9,0,7.824843,61.22818,10.63465
17,11,0,10.69541,114.3918,7.715028
11,10,1,27.21935,740.8929,6.250995
13,11,0,2.541272,6.458063,8.151961
10,10,0,13.20146,174.2786,8.936405
10,10,0,3.697209,13.66935,9.257048
10,10,0,17.31376,299.7662,8.185598
9,9,0,20.98556,440.3937,3.603245
8,11,1,29.37296,862.7709,.9486293
12,11,0,6.71557,45.09888,8.505655
17,9,1,30.94017,957.294,4.671237
17,12,0,30.08072,904.8498,2.977701
17,9,1,16.47489,271.4221,8.152415
16,10,1,14.95917,223.7769,7.934373
12,12,1,14.9149,222.4542,9.650734
10,10,1,29.37453,862.8627,3.457699
11,11,1,16.73919,280.2003,7.582181
14,10,1,14.37865,206.7456,8.679903
16,12,0,31.60254,998.7203,1.902728
12,11,1,33.27637,1107.317,1.699003
12,12,0,22.45474,504.2155,4.675497
11,11,0,30.54245,932.8414,2.65758
9,10,0,18.13139,328.7474,4.692883
16,11,1,21.40467,458.1601,7.470327
11,11,0,4.338708,18.82439,8.317837
17,11,0,24.19757,585.5222,4.489321
10,10,1,7.263732,52.76181,10.79625
10,10,1,3.732667,13.9328,10.91203
16,11,0,15.11903,228.585,8.032327
17,11,0,29.34784,861.2958,2.449583
11,11,1,7.659026,58.66068,10.29625
11,11,1,24.2583,588.4649,7.223781
18,10,0,13.71944,188.2229,7.49462
16,12,0,31.1954,973.153,2.121423
15,11,1,31.33835,982.0922,3.81113
14,12,1,25.66554,658.7202,6.510017
14,11,1,19.13782,366.256,5.911646
11,11,0,34.55008,1193.708,2.597213
11,11,0,1.580575,2.498217,10.85725
16,9,0,28.98419,840.0831,1.932177
15,10,1,30.1012,906.0823,4.101401
12,12,1,33.10839,1096.165,2.813803
16,9,0,24.82541,616.301,4.44811
15,11,0,11.06776,122.4953,8.397853
17,12,1,26.91529,724.4328,7.37282
18,11,0,6.274508,39.36945,9.381888
17,12,1,18.94605,358.9527,9.36617
13,10,1,21.60397,466.7314,7.986009
16,10,0,22.65869,513.416,5.699298
10,10,0,21.95985,482.235,5.464108
10,9,0,12.37232,153.0742,7.635965
12,12,1,18.2018,331.3055,5.734544
15,12,0,22.4146,502.4143,5.75632
12,12,1,27.50508,756.5296,5.307751
13,11,0,18.3708,337.4864,7.411892
13,11,0,22.31547,497.98,7.157553
18,10,0,9.667597,93.46243,7.618636
12,12,1,31.01014,961.6286,5.094903
16,11,1,15.45215,238.769,9.809782
13,10,1,5.680178,32.26442,10.7068
12,11,0,7.705345,59.37234,8.759889
17,10,1,14.11626,199.2687,11.05934
10,10,0,31.3745,984.3591,2.722034
10,11,1,7.73836,59.88221,9.187852
14,11,0,15.686,246.0507,9.455548
17,10,1,34.85477,1214.855,1.203974
14,11,1,28.15481,792.6934,8.076811
11,10,1,20.37693,415.2193,7.180806
15,11,0,5.98346,35.80179,9.835227
12,12,1,19.96574,398.6309,8.04673
11,9,1,5.137194,26.39076,9.4582
10,10,1,7.378689,54.44506,8.049038
11,10,1,29.77778,886.7164,4.690197
15,10,1,4.630854,21.44481,8.518041
12,12,1,4.858635,23.60633,10.21198
8,10,1,16.90104,285.6451,6.92868
13,10,1,34.93221,1220.26,3.630728
18,12,1,27.06631,732.585,8.330754
12,11,0,19.3471,374.3102,9.262711
