female,age,college,nhhld,inc2019,pab2019,emp2020
0,49,1,1,15554.62,0,0
0,40,0,1,6747.903,2498,0
0,18,1,1,4957.522,2498,1
1,34,0,1,23381.31,0,0
1,26,0,1,8167.408,2498,0
0,47,0,1,16063.78,0,1
1,53,0,1,2425.723,2498,0
0,39,1,1,5882.248,2498,1
1,44,1,1,10828.3,2498,0
1,50,1,1,9011.024,2498,1
1,26,1,1,4358.569,2498,0
0,49,0,1,9330.338,2498,1
0,20,1,1,7533.043,2498,0
0,32,0,1,13434.65,0,0
0,44,0,1,7766.24,2498,1
0,22,1,1,9878.729,2498,0
1,19,0,1,17450.53,0,0
0,33,1,1,12789.46,0,0
0,43,0,1,4700.232,2498,0
0,48,1,1,6383.694,2498,1
1,42,0,1,7720.338,2498,0
1,19,1,1,6017.263,2498,0
1,27,0,1,4854.824,2498,0
1,47,0,1,9677.058,2498,0
1,35,0,1,4847.519,2498,0
0,39,0,1,8209.805,2498,0
0,53,0,1,15535.2,0,1
1,24,0,1,6493.289,2498,0
1,41,0,1,5899.219,2498,0
1,50,0,1,3379.26,2498,0
0,21,0,1,10082.38,2498,1
0,38,1,1,13743.54,0,1
1,51,1,1,8343.322,2498,1
0,35,0,1,8796.108,2498,1
0,33,0,1,7128.11,2498,0
0,35,0,1,18651.61,0,1
0,53,0,1,6267.63,2498,1
0,18,0,1,4522.523,2498,0
1,27,0,1,7309.783,2498,1
1,51,0,1,7480.097,2498,0
1,43,1,1,11029.67,2498,1
1,20,1,1,12897.37,0,0
1,21,0,1,14078.6,0,0
0,33,0,1,6063.468,2498,0
1,30,0,1,8120.947,2498,1
1,34,1,1,10015.26,2498,0
1,43,0,1,22887.24,0,0
1,33,0,1,4179.257,2498,0
1,54,0,1,3632.213,2498,1
0,22,1,1,18013.86,0,1
0,32,1,1,9457.596,2498,0
1,19,0,1,5813.873,2498,0
0,54,0,1,11106.44,2498,1
0,18,1,1,8749.449,2498,0
1,26,0,1,5785.289,2498,0
1,40,1,1,9540.849,2498,1
1,27,0,1,7340.542,2498,1
1,39,0,1,8550.037,2498,1
1,35,1,1,5071.777,2498,0
0,51,0,1,6852.859,2498,1
1,21,0,1,4018.278,2498,1
1,37,1,1,7718.365,2498,1
0,21,0,1,2261.479,2498,1
1,37,0,1,4950.015,2498,1
0,39,0,1,8008.512,2498,1
1,48,1,1,3838.08,2498,0
0,35,0,1,4010.319,2498,1
1,26,0,1,8664.032,2498,0
0,22,0,1,13724.18,0,0
0,43,1,1,7489.212,2498,1
1,31,1,1,7074.527,2498,0
0,45,0,1,12146.29,2498,0
0,26,0,1,5111.867,2498,1
1,42,0,1,10812.16,2498,0
0,46,0,1,6073.463,2498,1
1,23,0,1,11974.47,2498,1
0,51,1,1,6704.297,2498,0
0,53,1,1,4606.509,2498,1
0,45,0,1,13956.44,0,0
0,34,1,1,8270.558,2498,1
1,20,0,1,8750.893,2498,1
1,40,1,1,4870.944,2498,0
1,42,0,1,5674.668,2498,0
1,30,1,1,7889.963,2498,0
1,44,0,1,3133.84,2498,0
0,29,0,1,5386.474,2498,1
0,46,0,1,8398.83,2498,1
1,44,1,1,8514.787,2498,1
1,20,1,1,9160.035,2498,0
1,48,1,1,7811.663,2498,0
0,38,0,1,9749.031,2498,0
0,23,0,1,2556.319,2498,1
0,44,1,1,7711.082,2498,0
1,27,1,1,37642.81,0,0
0,42,1,1,10046.2,2498,1
0,25,0,1,5020.205,2498,1
0,51,1,1,5448.772,2498,0
1,19,0,1,8697.329,2498,1
1,48,1,1,5396.819,2498,1
1,33,0,1,8075.304,2498,0
1,24,0,1,7596.131,2498,0
0,42,1,1,14180.98,0,1
0,47,0,1,6696.501,2498,0
0,34,0,1,6615.191,2498,0
1,42,1,1,13351.36,0,0
0,23,0,1,6236.94,2498,1
0,24,0,1,3797.966,2498,0
1,23,0,1,7873.208,2498,1
0,34,0,1,6912.162,2498,0
1,34,0,1,11668.86,2498,0
0,49,0,1,8747.188,2498,0
0,20,0,1,21401.74,0,0
1,28,1,1,5853.891,2498,0
0,19,0,1,13418.46,0,1
0,33,1,1,8627.959,2498,0
0,22,1,1,14396.8,0,1
1,21,0,1,9549.351,2498,1
0,35,0,1,3919.879,2498,1
0,23,0,1,8852.289,2498,0
1,26,1,1,7864.534,2498,1
1,25,0,1,7012.046,2498,0
1,33,0,1,4425.446,2498,1
0,30,0,1,9843.37,2498,0
1,27,1,1,7188.224,2498,1
0,34,0,1,5602.847,2498,0
0,36,0,1,3928.393,2498,0
0,48,0,1,11058.03,2498,0
1,42,1,1,4678.212,2498,0
0,48,1,1,11035.29,2498,1
0,32,0,1,4908.951,2498,0
0,38,1,1,5823.611,2498,1
0,48,0,1,2129.448,2498,0
1,30,0,1,11643.75,2498,0
1,24,0,1,11469.06,2498,0
0,46,0,1,13473.15,0,0
1,44,0,1,6429.015,2498,1
0,41,0,1,9188.865,2498,1
0,30,0,1,5297.959,2498,0
0,21,0,1,18891.46,0,1
1,39,1,1,10388.2,2498,0
0,36,0,1,20820.34,0,0
0,36,1,1,12820.25,0,1
0,31,1,1,4802.123,2498,1
0,19,1,1,15278.14,0,1
1,35,0,1,5693.864,2498,1
0,49,0,1,7668.62,2498,1
1,51,1,1,9441.905,2498,0
1,20,1,1,10283.86,2498,1
0,38,0,1,17573.64,0,0
1,39,0,1,17752.71,0,0
0,29,0,1,15206.53,0,1
0,22,1,1,3527.113,2498,1
1,23,1,1,10842.22,2498,1
0,24,1,1,8930.069,2498,0
0,45,1,1,4206.074,2498,1
0,32,0,1,9363.462,2498,0
0,42,0,1,3384.501,2498,1
0,32,1,1,10353.47,2498,0
1,51,1,1,8493.425,2498,0
0,49,1,1,3899.54,2498,1
1,35,1,1,4722.846,2498,0
0,42,0,1,5456.635,2498,1
1,39,0,1,3382.939,2498,1
0,31,0,1,4257.781,2498,0
0,27,0,1,12741.6,0,1
0,20,1,1,3980.177,2498,0
1,19,0,1,6990.553,2498,1
1,46,0,1,12211.63,2498,1
1,38,0,1,6058.74,2498,0
0,54,0,1,9794.321,2498,0
0,23,0,1,6276.83,2498,1
0,21,1,1,6545.184,2498,0
0,19,1,1,9080.945,2498,0
0,49,0,1,4710.539,2498,0
0,37,1,1,11025.6,2498,0
1,45,0,1,10131.95,2498,0
0,37,0,1,11128.41,2498,0
0,43,0,1,9005.655,2498,0
0,42,0,1,7144.716,2498,1
1,31,0,1,19434.77,0,0
0,39,0,1,4758.154,2498,0
1,43,1,1,19849.9,0,1
0,47,1,1,9559.82,2498,1
0,22,1,1,1162.89,2498,0
1,24,0,1,4713.752,2498,1
0,22,0,1,9036.488,2498,0
0,36,1,1,8101.995,2498,0
1,44,0,1,8665.181,2498,1
1,40,0,1,9899.771,2498,0
0,21,0,1,12595.59,0,1
0,29,1,1,5897.79,2498,0
1,23,0,1,8198.101,2498,1
1,25,1,1,24531.23,0,1
0,21,1,1,6471.157,2498,1
1,46,0,1,11864.05,2498,0
1,44,0,1,16665.42,0,0
0,51,0,1,10061.59,2498,0
